3,李小红,18151524590,542231196409103911,Ⅲ类账户,2021-06-28,98423.64,留学贷款,445715.34,2022-07-08,24,柜台,还清
4,高梅,15396238677,371000198410233941,Ⅲ类账户,2012-05-18,44334.04,个人贷款,488689.95,2021-02-09,12,柜台,还清
5,胡帅,18000283395,611023200101286243,Ⅲ类账户,2014-09-13,24072.11,个人贷款,37031.91,2023-03-03,48,柜台,还清
6,和春梅,13533794282,440301194911286939,Ⅰ类户,2015-03-14,69500.48,经营贷款,498574.75,2021-06-02,12,网上银行,正常
7,刘林,15604712045,510923193502189956,Ⅲ类账户,2021-11-19,47638.59,汽车贷款,468548.97,2021-01-18,12,手机银行,正常
8,钱宇,14542125458,610627194212113715,Ⅰ类户,2015-04-18,89295.86,消费贷款,300776.80,2020-06-10,24,网上银行,还清
9,张丹丹,13551233663,361002195607088853,Ⅱ类户,2022-10-03,59152.31,留学贷款,467169.29,2020-11-25,24,柜台,逾期
10,李荣,13715575247,230303196705051269,Ⅰ类户,2014-02-07,37504.96,个人贷款,105753.06,2023-04-29,48,手机银行,正常
11,吴洋,15741850870,421003194402205225,Ⅱ类户,2016-06-30,52737.78,房屋贷款,392592.82,2020-04-25,60,手机银行,逾期
12,张慧,18676722366,361024194904152069,Ⅲ类账户,2012-11-24,38441.81,汽车贷款,162850.13,2021-04-23,36,手机银行,还清
13,黄秀兰,18959782338,131026193802033689,Ⅱ类户,2021-03-31,58934.07,留学贷款,217881.85,2020-10-01,36,手机银行,正常
14,徐丹丹,18510765297,510300197709071227,Ⅱ类户,2016-04-18,72374.34,消费贷款,152177.80,2020-10-07,48,网上银行,逾期
15,涂霞,13715643443,130623197202211542,Ⅰ类户,2023-12-21,52026.40,汽车贷款,146360.53,2020-12-06,12,手机银行,正常
16,刘莉,13728256046,431128193605113179,Ⅱ类户,2021-03-17,89756.91,留学贷款,33531.71,2023-05-28,36,手机银行,正常
17,孙芳,13615358859,42050419810310971X,Ⅲ类账户,2020-05-19,70054.46,留学贷款,165647.86,2020-07-21,12,手机银行,正常
18,杨雪,15962486698,131126199910258933,Ⅱ类户,2022-04-28,59209.84,留学贷款,446515.98,2020-12-17,60,网上银行,正常
19,刘飞,15776250162,522727195008098730,Ⅲ类账户,2014-02-24,6455.18,房屋贷款,159747.80,2021-02-24,24,柜台,逾期
20,隋淑华,18614229731,500226196808162281,Ⅱ类户,2020-08-23,24715.62,消费贷款,387103.74,2021-07-27,24,柜台,正常
21,邓彬,15552229706,152201198608158796,Ⅱ类户,2015-11-20,98724.46,经营贷款,31051.72,2023-01-08,48,网上银行,还清
22,刘倩,13425568692,654022199510274831,Ⅱ类户,2016-08-04,98875.81,留学贷款,156350.48,2021-09-10,24,网上银行,逾期
23,赵桂荣,13809802669,451227196703010620,Ⅲ类账户,2012-12-06,27189.79,留学贷款,36838.27,2020-02-23,24,柜台,正常
24,段婷婷,14516900155,469024193411156121,Ⅱ类户,2012-05-02,36447.24,经营贷款,65096.28,2022-10-14,24,柜台,正常
25,邱志强,14538204880,371403197809037252,Ⅱ类户,2019-12-29,42183.13,房屋贷款,300618.27,2021-05-04,60,网上银行,还清
26,王秀芳,15643306337,511521194401122905,Ⅱ类户,2017-03-07,77022.19,消费贷款,55503.92,2021-09-03,24,手机银行,逾期
27,张凤兰,15128666869,370402195105279177,Ⅲ类账户,2019-06-05,5369.33,个人贷款,19632.70,2022-07-26,60,柜台,正常
28,刘萍,15626221695,540235200109035980,Ⅰ类户,2013-10-03,59501.24,个人贷款,198959.14,2023-10-15,24,手机银行,还清
29,郭亮,14583955156,130434195306294636,Ⅰ类户,2015-01-05,82632.01,汽车贷款,198703.64,2023-03-06,60,网上银行,正常
30,王兰英,18787097872,421300197204197931,Ⅰ类户,2018-08-13,25878.59,留学贷款,387555.84,2022-01-06,24,手机银行,逾期
31,王想,14742325079,411329199707129279,Ⅲ类账户,2022-01-22,79671.42,消费贷款,131561.67,2020-12-15,12,柜台,逾期
32,叶秀英,15327425612,610327200602185775,Ⅱ类户,2017-04-07,34164.01,经营贷款,349972.60,2023-07-15,60,柜台,还清
33,覃瑜,13095399107,331101195405155505,Ⅲ类账户,2020-07-18,84581.62,汽车贷款,391394.43,2020-11-26,12,柜台,还清
34,傅伟,13089226244,210882197107197595,Ⅰ类户,2021-01-07,13953.00,房屋贷款,451267.84,2022-12-30,24,柜台,还清
35,杜健,15242250924,340621196401237093,Ⅰ类户,2012-06-16,27674.92,消费贷款,139281.19,2020-06-24,36,手机银行,还清
36,舒峰,18988872689,45132119880728653X,Ⅱ类户,2019-04-01,1302.08,消费贷款,351329.09,2022-09-08,36,柜台,逾期
